ID,Project Name,Camera Trap Name,Latitude,Longitude,Sampling Event,Photo Type,Photo Date,Photo time,Raw Name,Class,Order,Family,Genus,Species,Number of Animals,Person Identifying the Photo,Camera Serial Number,Camera Start Date,Camera End Date,Person setting up the Camera,Person picking up the Camera,Camera Manufacturer,Camera Model,Sequence Info,Moon Phase,Temperature,Organization Name
351,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:59:32,06160057.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,2,Andy Wood,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
352,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:59:32,06160058.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,2,Kevin Ostrander,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
353,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:59:32,06160059.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,2,Kevin Ostrander,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
372,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,23:42:56,06160078.JPG,MAMMALIA,CARNIVORA,PROCYONIDAE,Procyon,lotor,1,Kevin Ostrander,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
373,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,23:42:57,06160079.JPG,MAMMALIA,CARNIVORA,PROCYONIDAE,Procyon,lotor,1,Andy Wood,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
374,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,23:42:57,06160080.JPG,MAMMALIA,CARNIVORA,PROCYONIDAE,Procyon,lotor,1,Andy Wood,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
375,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,23:43:11,06160081.JPG,MAMMALIA,CARNIVORA,PROCYONIDAE,Procyon,lotor,1,Laura Mitchell,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
376,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,23:43:12,06160082.JPG,MAMMALIA,CARNIVORA,PROCYONIDAE,Procyon,lotor,1,Laura Mitchell,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
377,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,23:43:12,06160083.JPG,MAMMALIA,CARNIVORA,PROCYONIDAE,Procyon,lotor,1,Andy Wood,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
398,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-15,02:09:05,07150010.JPG,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,vulpes,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
399,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-15,02:09:06,07150011.JPG,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,vulpes,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
400,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-15,02:09:06,07150012.JPG,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,vulpes,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
404,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-16,03:34:44,07160016.JPG,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,vulpes,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
405,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-16,03:34:44,07160017.JPG,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,vulpes,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
406,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-16,03:34:45,07160018.JPG,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,vulpes,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
407,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-16,03:37:37,07160019.JPG,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,vulpes,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
408,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-16,03:37:38,07160020.JPG,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,vulpes,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
409,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-16,03:37:38,07160021.JPG,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,vulpes,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
413,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-16,11:23:11,07160025.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
414,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-16,11:23:11,07160026.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
415,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-16,11:23:11,07160027.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
416,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-16,22:58:55,07160028.JPG,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,vulpes,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
417,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-16,22:58:55,07160029.JPG,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,vulpes,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
418,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-16,22:58:55,07160030.JPG,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,vulpes,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
428,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-18,10:02:18,07180040.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
455,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-21,10:11:20,07210067.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
456,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-21,10:11:21,07210068.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
464,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-21,10:21:14,07210076.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
465,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-21,10:21:14,07210077.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
466,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-21,10:21:15,07210078.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
467,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-21,11:20:33,07210079.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
468,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-21,11:20:33,07210080.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
469,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-21,11:20:34,07210081.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
471,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-21,11:25:48,07210083.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
472,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-21,11:25:49,07210084.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
488,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-23,11:08:27,07230100.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
489,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-23,11:08:27,07230101.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
490,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-23,11:08:28,07230102.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
491,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-24,08:53:38,07240103.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
526,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-24,13:58:13,07240138.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Andy Wood,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
776,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-28,09:48:04,07280388.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Miriam Wolpert,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
770,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-28,09:46:17,07280382.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Miriam Wolpert,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
771,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-28,09:46:17,07280383.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Miriam Wolpert,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
772,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_07122017_07312017,Animal,2017-07-28,09:46:18,07280384.JPG,MAMMALIA,PRIMATES,HOMINIDAE,Homo,sapiens,1,Miriam Wolpert,B8,2017-07-12,2017-07-31,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
